"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Password Validation","Parametrized password validation","0","0","7","0","0"
"","Password Validation","Password strength - medium","0","0","1","0","0"
"","Password Validation","Empty password fails","0","0","1","0","0"
"","Login Feature","Logout after login","0","0","1","0","0"
"","Login Page HTTP","Content-Type is HTML","0","0","1","0","0"
"","Performance & Load","Single request performance","0","0","1","0","0"
"","Login Page HTTP","Response time under 3s","0","0","1","0","0"
"","Login Feature","Invalid credentials parametrized","0","0","4","0","0"
"","Login Page HTTP","Multiple pages availability","0","0","2","0","0"
"","Password Validation","Password strength - strong","0","0","1","0","0"
"","Password Validation","Password strength - weak","0","0","1","0","0"
"","Login Page HTTP","HTML contains login form elements","0","0","1","0","0"
"","Password Validation","Password strength - null input","0","0","1","0","0"
"","Login Feature","Wrong username shows error","0","0","1","0","0"
"","Password Validation","Password without uppercase fails","0","0","1","0","0"
"","Password Validation","Password without digits fails","0","0","1","0","0"
"","Smoke Checks","HTTP 200 smoke check","0","0","1","0","0"
"","Performance & Load","10 concurrent users load test","0","0","1","0","0"
"","Smoke Checks","Login page is reachable","0","0","1","0","0"
"","Password Validation","Short password fails","0","0","1","0","0"
"","Auth","Login with valid credentials","0","0","1","0","0"
"","Login Feature","Login with valid credentials","0","0","1","0","0"
"","Login Feature","Wrong password shows error","0","0","1","0","0"
"","Login Feature","Empty form shows error","0","0","1","0","0"
"","Login Page HTTP","No server errors in HTML","0","0","1","0","0"
"","Password Validation","Valid password passes","0","0","1","0","0"
"","Login Page HTTP","HTTP status 200","0","0","1","0","0"
"","Login Feature","Successful login","0","0","1","0","0"
"","Performance & Load","Sequential stability test","0","0","1","0","0"
"","Performance & Load","Spike stress test","0","0","1","0","0"
"","Smoke Checks","Page title check","0","0","1","0","0"
